index WWP DWpM PDW BDns SPdv BLen BMax BThk SLen SDia
SL18-OI-17-FG2 -0.059 0.032 -0.006 -0.046 -8.269 -0.063 0.005 -0.035 0.671 1.161 0.123
SL18-LD-4-FG1 0.013 0.067 -0.011 0.034 6.53 -0.917 0.042 0.408 -0.061 0.057 0.408
SL18-NL-9-FG2 -0.145 0.149 -0.012 -0.121 96.728 1.149 0.012 -0.259 0.348 0.004 -1.092
SL18-OI-16-FG2 -0.098 -0.346 -0.019 -0.06 -37.434 -0.461 0 -0.765 0.216 0.761 -0.195
SL18-LD-1-FG3 -0.06 -0.032 -0.02 -0.02 26.201 -2.065 0.08 0.154 -0.207 0.2 0.14
SL18-LD-4-FG2 0.034 -0.042 -0.02 0.075 -32.692 -1.204 0.047 -0.193 -0.07 0.044 0.514
SL18-LD-3-FG2 -0.018 0.042 -0.02 0.023 -2.494 -1.777 0.073 0.045 -0.459 0.249 0.356
SL18-LD-4-FG3 0.011 -0.079 -0.025 0.061 -45.791 -1.362 0.044 -0.389 -0.079 -0.143 0.973
SL18-OI-9-FG1 -0.068 -0.117 -0.027 -0.014 21.988 -0.567 0.06 -0.29 -0.209 -0.632 0.298
SL18-LD-9-FG3 0.085 -0.148 -0.028 0.14 -54.753 -0.177 0.074 -0.123 -0.074 0.597 1.13
SL18-NL-2-FG3 -0.144 -0.075 -0.029 -0.085 -23.187 -0.172 -0.054 0.326 0.344 0.01 -0.093
SL18-OI-7-FG3 -0.022 -0.163 -0.031 0.041 36.12 -0.636 0.004 0.072 -0.754 -0.198 -1.106
SL18-SF-17-FG1 -0.068 -0.206 -0.034 0 -55.628 -0.468 -0.027 -0.1 -0.538 -0.769 -0.686
SL18-NL-10-FG3 -0.126 -0.135 -0.035 -0.055 22.022 1.24 -0.072 0.241 1.274 1.493 0.564
SL18-LD-10-FG2 0.011 -0.196 -0.041 0.092 -37.407 -0.517 0.053 0.191 0.873 -0.261 0.085
SL18-LD-5-FG2 -0.078 -0.072 -0.043 0.008 -73.273 -0.492 0.061 -0.339 -0.18 0.779 0.428
SL18-LD-1-FG1 -0.099 -0.149 -0.044 -0.012 -0.112 -1.267 0.052 -0.395 -0.923 -0.146 -0.353
SL18-OI-4-FG3 -0.116 -0.238 -0.047 -0.022 -46.128 -0.593 -0.012 0.558 -0.153 0.605 0.248
SL18-NL-6-FG3 -0.068 -0.294 -0.047 0.027 20.55 0.266 0.037 -0.444 -0.241 0.097 0.222
SL18-LD-3-FG1 0.001 -0.252 -0.049 0.098 -69.032 -1.871 0.072 -0.382 -0.063 0.141 0.71
SL18-LD-5-FG1 -0.082 -0.137 -0.053 0.024 -78.674 -0.405 0.048 -0.223 0.365 0.432 0.839
SL18-SF-18-FG2 -0.081 -0.255 -0.054 0.026 -33.045 -0.355 0.012 -0.493 0.152 -1.194 0.33
SL18-LD-3-FG3 -0.028 -0.259 -0.056 0.084 -54.036 -1.868 0.077 0.05 -0.067 -0.476 -0.966
SL18-LD-9-FG2 -0.012 -0.272 -0.057 0.101 -80.842 -1.12 0.034 0.283 -0.165 0.105 1.124
SA18-CB-5-FG1 -0.127 -0.321 -0.061 -0.005 -45.851 -0.975 -0.016 -0.018 0.149 1.051 0.131
SL18-LD-10-FG1 -0.035 -0.283 -0.064 0.093 -80.48 -1.149 0.094 0.291 0.275 0.51 0.109
SL18-LL-9-FG1 -0.022 -0.349 -0.066 0.111 -68.631 -0.512 0.086 0.176 0.636 -0.1 0.717
SL18-LL-9-FG3 -0.14 -0.285 -0.068 -0.004 -45.905 -0.71 0.066 0.407 0.935 1.145 1.058
SL18-NL-7-FG3 -0.178 -0.435 -0.076 -0.026 -45.433 -0.607 -0.015 0.529 -1.067 -0.834 -1.038
SL18-NL-10-FG2 -0.214 -0.381 -0.077 -0.061 -10.037 -0.155 -0.031 -0.669 -0.545 -2.065 -2.563
SL18-LD-10-FG3 -0.063 -0.361 -0.077 0.091 -89.782 -1.017 0.074 -0.148 -0.07 -0.364 1.066
SL18-NL-9-FG3 -0.197 -0.403 -0.081 -0.035 -13.775 -0.687 0.028 -0.086 0.091 0.047 -0.289
SL18-OI-16-FG1 -0.197 -0.522 -0.085 -0.026 -83.358 -1.26 0.035 -0.315 -0.061 -0.822 0.092
SL18-OI-2-FG3 0.006 -0.804 -0.115 0.236 -118.755 -1.47 0.042 -0.235 -0.435 0.023 -0.622
SL18-OI-2-FG2 -0.135 -0.951 -0.158 0.181 -167.442 -1.615 -0.01 -0.544 -0.277 -0.754 -0.741
NA NA NA NA NA NA NA NA NA NA NA NA
NA.1 NA NA NA NA NA NA NA NA NA NA NA
NA.2 NA NA NA NA NA NA NA NA NA NA NA
NA.3 NA NA NA NA NA NA NA NA NA NA NA
NA.4 NA NA NA NA NA NA NA NA NA NA NA
NA.5 NA NA NA NA NA NA NA NA NA NA NA
NA.6 NA NA NA NA NA NA NA NA NA NA NA
NA.7 NA NA NA NA NA NA NA NA NA NA NA
NA.8 NA NA NA NA NA NA NA NA NA NA NA
NA.9 NA NA NA NA NA NA NA NA NA NA NA
NA.10 NA NA NA NA NA NA NA NA NA NA NA
NA.11 NA NA NA NA NA NA NA NA NA NA NA
NA.12 NA NA NA NA NA NA NA NA NA NA NA
NA.13 NA NA NA NA NA NA NA NA NA NA NA
NA.14 NA NA NA NA NA NA NA NA NA NA NA
NA.15 NA NA NA NA NA NA NA NA NA NA NA
NA.16 NA NA NA NA NA NA NA NA NA NA NA
NA.17 NA NA NA NA NA NA NA NA NA NA NA
NA.18 NA NA NA NA NA NA NA NA NA NA NA
NA.19 NA NA NA NA NA NA NA NA NA NA NA
NA.20 NA NA NA NA NA NA NA NA NA NA NA
NA.21 NA NA NA NA NA NA NA NA NA NA NA
NA.22 NA NA NA NA NA NA NA NA NA NA NA
NA.23 NA NA NA NA NA NA NA NA NA NA NA
NA.24 NA NA NA NA NA NA NA NA NA NA NA
NA.25 NA NA NA NA NA NA NA NA NA NA NA
NA.26 NA NA NA NA NA NA NA NA NA NA NA
NA.27 NA NA NA NA NA NA NA NA NA NA NA
NA.28 NA NA NA NA NA NA NA NA NA NA NA
NA.29 NA NA NA NA NA NA NA NA NA NA NA
NA.30 NA NA NA NA NA NA NA NA NA NA NA
NA.31 NA NA NA NA NA NA NA NA NA NA NA
NA.32 NA NA NA NA NA NA NA NA NA NA NA
NA.33 NA NA NA NA NA NA NA NA NA NA NA
NA.34 NA NA NA NA NA NA NA NA NA NA NA
NA.35 NA NA NA NA NA NA NA NA NA NA NA
NA.36 NA NA NA NA NA NA NA NA NA NA NA
NA.37 NA NA NA NA NA NA NA NA NA NA NA
NA.38 NA NA NA NA NA NA NA NA NA NA NA
NA.39 NA NA NA NA NA NA NA NA NA NA NA
NA.40 NA NA NA NA NA NA NA NA NA NA NA
NA.41 NA NA NA NA NA NA NA NA NA NA NA
NA.42 NA NA NA NA NA NA NA NA NA NA NA
NA.43 NA NA NA NA NA NA NA NA NA NA NA
NA.44 NA NA NA NA NA NA NA NA NA NA NA
NA.45 NA NA NA NA NA NA NA NA NA NA NA
NA.46 NA NA NA NA NA NA NA NA NA NA NA
NA.47 NA NA NA NA NA NA NA NA NA NA NA
NA.48 NA NA NA NA NA NA NA NA NA NA NA
NA.49 NA NA NA NA NA NA NA NA NA NA NA
NA.50 NA NA NA NA NA NA NA NA NA NA NA
NA.51 NA NA NA NA NA NA NA NA NA NA NA
NA.52 NA NA NA NA NA NA NA NA NA NA NA
NA.53 NA NA NA NA NA NA NA NA NA NA NA
NA.54 NA NA NA NA NA NA NA NA NA NA NA
NA.55 NA NA NA NA NA NA NA NA NA NA NA
NA.56 NA NA NA NA NA NA NA NA NA NA NA
NA.57 NA NA NA NA NA NA NA NA NA NA NA
NA.58 NA NA NA NA NA NA NA NA NA NA NA
NA.59 NA NA NA NA NA NA NA NA NA NA NA
NA.60 NA NA NA NA NA NA NA NA NA NA NA
NA.61 NA NA NA NA NA NA NA NA NA NA NA
NA.62 NA NA NA NA NA NA NA NA NA NA NA
NA.63 NA NA NA NA NA NA NA NA NA NA NA
NA.64 NA NA NA NA NA NA NA NA NA NA NA
NA.65 NA NA NA NA NA NA NA NA NA NA NA
NA.66 NA NA NA NA NA NA NA NA NA NA NA
NA.67 NA NA NA NA NA NA NA NA NA NA NA
NA.68 NA NA NA NA NA NA NA NA NA NA NA
NA.69 NA NA NA NA NA NA NA NA NA NA NA
NA.70 NA NA NA NA NA NA NA NA NA NA NA
NA.71 NA NA NA NA NA NA NA NA NA NA NA
NA.72 NA NA NA NA NA NA NA NA NA NA NA
NA.73 NA NA NA NA NA NA NA NA NA NA NA
NA.74 NA NA NA NA NA NA NA NA NA NA NA
NA.75 NA NA NA NA NA NA NA NA NA NA NA
NA.76 NA NA NA NA NA NA NA NA NA NA NA
NA.77 NA NA NA NA NA NA NA NA NA NA NA
NA.78 NA NA NA NA NA NA NA NA NA NA NA
NA.79 NA NA NA NA NA NA NA NA NA NA NA
NA.80 NA NA NA NA NA NA NA NA NA NA NA
NA.81 NA NA NA NA NA NA NA NA NA NA NA
NA.82 NA NA NA NA NA NA NA NA NA NA NA
NA.83 NA NA NA NA NA NA NA NA NA NA NA
NA.84 NA NA NA NA NA NA NA NA NA NA NA
NA.85 NA NA NA NA NA NA NA NA NA NA NA
NA.86 NA NA NA NA NA NA NA NA NA NA NA
NA.87 NA NA NA NA NA NA NA NA NA NA NA
NA.88 NA NA NA NA NA NA NA NA NA NA NA
NA.89 NA NA NA NA NA NA NA NA NA NA NA
NA.90 NA NA NA NA NA NA NA NA NA NA NA
NA.91 NA NA NA NA NA NA NA NA NA NA NA
NA.92 NA NA NA NA NA NA NA NA NA NA NA
NA.93 NA NA NA NA NA NA NA NA NA NA NA
NA.94 NA NA NA NA NA NA NA NA NA NA NA
NA.95 NA NA NA NA NA NA NA NA NA NA NA
NA.96 NA NA NA NA NA NA NA NA NA NA NA
NA.97 NA NA NA NA NA NA NA NA NA NA NA
NA.98 NA NA NA NA NA NA NA NA NA NA NA
NA.99 NA NA NA NA NA NA NA NA NA NA NA
NA.100 NA NA NA NA NA NA NA NA NA NA NA
NA.101 NA NA NA NA NA NA NA NA NA NA NA
NA.102 NA NA NA NA NA NA NA NA NA NA NA
NA.103 NA NA NA NA NA NA NA NA NA NA NA
NA.104 NA NA NA NA NA NA NA NA NA NA NA
NA.105 NA NA NA NA NA NA NA NA NA NA NA
NA.106 NA NA NA NA NA NA NA NA NA NA NA
NA.107 NA NA NA NA NA NA NA NA NA NA NA
NA.108 NA NA NA NA NA NA NA NA NA NA NA
NA.109 NA NA NA NA NA NA NA NA NA NA NA
NA.110 NA NA NA NA NA NA NA NA NA NA NA
NA.111 NA NA NA NA NA NA NA NA NA NA NA
NA.112 NA NA NA NA NA NA NA NA NA NA NA
NA.113 NA NA NA NA NA NA NA NA NA NA NA
NA.114 NA NA NA NA NA NA NA NA NA NA NA
NA.115 NA NA NA NA NA NA NA NA NA NA NA
NA.116 NA NA NA NA NA NA NA NA NA NA NA
NA.117 NA NA NA NA NA NA NA NA NA NA NA
NA.118 NA NA NA NA NA NA NA NA NA NA NA
NA.119 NA NA NA NA NA NA NA NA NA NA NA
NA.120 NA NA NA NA NA NA NA NA NA NA NA
NA.121 NA NA NA NA NA NA NA NA NA NA NA
NA.122 NA NA NA NA NA NA NA NA NA NA NA
NA.123 NA NA NA NA NA NA NA NA NA NA NA
NA.124 NA NA NA NA NA NA NA NA NA NA NA
NA.125 NA NA NA NA NA NA NA NA NA NA NA
NA.126 NA NA NA NA NA NA NA NA NA NA NA
NA.127 NA NA NA NA NA NA NA NA NA NA NA
NA.128 NA NA NA NA NA NA NA NA NA NA NA
NA.129 NA NA NA NA NA NA NA NA NA NA NA
NA.130 NA NA NA NA NA NA NA NA NA NA NA
NA.131 NA NA NA NA NA NA NA NA NA NA NA
NA.132 NA NA NA NA NA NA NA NA NA NA NA
NA.133 NA NA NA NA NA NA NA NA NA NA NA
NA.134 NA NA NA NA NA NA NA NA NA NA NA
NA.135 NA NA NA NA NA NA NA NA NA NA NA
NA.136 NA NA NA NA NA NA NA NA NA NA NA
NA.137 NA NA NA NA NA NA NA NA NA NA NA
NA.138 NA NA NA NA NA NA NA NA NA NA NA
NA.139 NA NA NA NA NA NA NA NA NA NA NA
NA.140 NA NA NA NA NA NA NA NA NA NA NA
NA.141 NA NA NA NA NA NA NA NA NA NA NA
NA.142 NA NA NA NA NA NA NA NA NA NA NA
NA.143 NA NA NA NA NA NA NA NA NA NA NA
NA.144 NA NA NA NA NA NA NA NA NA NA NA
NA.145 NA NA NA NA NA NA NA NA NA NA NA
NA.146 NA NA NA NA NA NA NA NA NA NA NA
NA.147 NA NA NA NA NA NA NA NA NA NA NA
NA.148 NA NA NA NA NA NA NA NA NA NA NA
NA.149 NA NA NA NA NA NA NA NA NA NA NA
NA.150 NA NA NA NA NA NA NA NA NA NA NA
NA.151 NA NA NA NA NA NA NA NA NA NA NA
NA.152 NA NA NA NA NA NA NA NA NA NA NA
NA.153 NA NA NA NA NA NA NA NA NA NA NA
NA.154 NA NA NA NA NA NA NA NA NA NA NA
NA.155 NA NA NA NA NA NA NA NA NA NA NA
NA.156 NA NA NA NA NA NA NA NA NA NA NA
NA.157 NA NA NA NA NA NA NA NA NA NA NA
NA.158 NA NA NA NA NA NA NA NA NA NA NA
NA.159 NA NA NA NA NA NA NA NA NA NA NA
NA.160 NA NA NA NA NA NA NA NA NA NA NA
NA.161 NA NA NA NA NA NA NA NA NA NA NA
NA.162 NA NA NA NA NA NA NA NA NA NA NA
NA.163 NA NA NA NA NA NA NA NA NA NA NA
NA.164 NA NA NA NA NA NA NA NA NA NA NA
NA.165 NA NA NA NA NA NA NA NA NA NA NA
NA.166 NA NA NA NA NA NA NA NA NA NA NA
NA.167 NA NA NA NA NA NA NA NA NA NA NA
NA.168 NA NA NA NA NA NA NA NA NA NA NA
NA.169 NA NA NA NA NA NA NA NA NA NA NA
NA.170 NA NA NA NA NA NA NA NA NA NA NA
NA.171 NA NA NA NA NA NA NA NA NA NA NA
NA.172 NA NA NA NA NA NA NA NA NA NA NA
NA.173 NA NA NA NA NA NA NA NA NA NA NA
NA.174 NA NA NA NA NA NA NA NA NA NA NA
NA.175 NA NA NA NA NA NA NA NA NA NA NA
NA.176 NA NA NA NA NA NA NA NA NA NA NA
NA.177 NA NA NA NA NA NA NA NA NA NA NA
NA.178 NA NA NA NA NA NA NA NA NA NA NA
NA.179 NA NA NA NA NA NA NA NA NA NA NA
NA.180 NA NA NA NA NA NA NA NA NA NA NA
NA.181 NA NA NA NA NA NA NA NA NA NA NA
NA.182 NA NA NA NA NA NA NA NA NA NA NA
NA.183 NA NA NA NA NA NA NA NA NA NA NA
NA.184 NA NA NA NA NA NA NA NA NA NA NA
NA.185 NA NA NA NA NA NA NA NA NA NA NA
NA.186 NA NA NA NA NA NA NA NA NA NA NA
NA.187 NA NA NA NA NA NA NA NA NA NA NA
NA.188 NA NA NA NA NA NA NA NA NA NA NA
NA.189 NA NA NA NA NA NA NA NA NA NA NA
NA.190 NA NA NA NA NA NA NA NA NA NA NA
NA.191 NA NA NA NA NA NA NA NA NA NA NA
NA.192 NA NA NA NA NA NA NA NA NA NA NA
NA.193 NA NA NA NA NA NA NA NA NA NA NA
NA.194 NA NA NA NA NA NA NA NA NA NA NA
NA.195 NA NA NA NA NA NA NA NA NA NA NA
NA.196 NA NA NA NA NA NA NA NA NA NA NA
NA.197 NA NA NA NA NA NA NA NA NA NA NA
NA.198 NA NA NA NA NA NA NA NA NA NA NA
NA.199 NA NA NA NA NA NA NA NA NA NA NA
NA.200 NA NA NA NA NA NA NA NA NA NA NA
NA.201 NA NA NA NA NA NA NA NA NA NA NA
NA.202 NA NA NA NA NA NA NA NA NA NA NA
NA.203 NA NA NA NA NA NA NA NA NA NA NA
NA.204 NA NA NA NA NA NA NA NA NA NA NA
NA.205 NA NA NA NA NA NA NA NA NA NA NA
NA.206 NA NA NA NA NA NA NA NA NA NA NA
NA.207 NA NA NA NA NA NA NA NA NA NA NA
NA.208 NA NA NA NA NA NA NA NA NA NA NA
NA.209 NA NA NA NA NA NA NA NA NA NA NA
NA.210 NA NA NA NA NA NA NA NA NA NA NA
NA.211 NA NA NA NA NA NA NA NA NA NA NA
NA.212 NA NA NA NA NA NA NA NA NA NA NA
NA.213 NA NA NA NA NA NA NA NA NA NA NA
NA.214 NA NA NA NA NA NA NA NA NA NA NA
NA.215 NA NA NA NA NA NA NA NA NA NA NA
NA.216 NA NA NA NA NA NA NA NA NA NA NA
NA.217 NA NA NA NA NA NA NA NA NA NA NA
NA.218 NA NA NA NA NA NA NA NA NA NA NA
NA.219 NA NA NA NA NA NA NA NA NA NA NA
NA.220 NA NA NA NA NA NA NA NA NA NA NA
NA.221 NA NA NA NA NA NA NA NA NA NA NA
NA.222 NA NA NA NA NA NA NA NA NA NA NA
NA.223 NA NA NA NA NA NA NA NA NA NA NA
NA.224 NA NA NA NA NA NA NA NA NA NA NA
NA.225 NA NA NA NA NA NA NA NA NA NA NA
NA.226 NA NA NA NA NA NA NA NA NA NA NA
NA.227 NA NA NA NA NA NA NA NA NA NA NA
NA.228 NA NA NA NA NA NA NA NA NA NA NA
NA.229 NA NA NA NA NA NA NA NA NA NA NA
NA.230 NA NA NA NA NA NA NA NA NA NA NA
NA.231 NA NA NA NA NA NA NA NA NA NA NA
NA.232 NA NA NA NA NA NA NA NA NA NA NA
NA.233 NA NA NA NA NA NA NA NA NA NA NA
NA.234 NA NA NA NA NA NA NA NA NA NA NA
NA.235 NA NA NA NA NA NA NA NA NA NA NA
NA.236 NA NA NA NA NA NA NA NA NA NA NA
NA.237 NA NA NA NA NA NA NA NA NA NA NA
NA.238 NA NA NA NA NA NA NA NA NA NA NA
NA.239 NA NA NA NA NA NA NA NA NA NA NA
NA.240 NA NA NA NA NA NA NA NA NA NA NA
NA.241 NA NA NA NA NA NA NA NA NA NA NA
NA.242 NA NA NA NA NA NA NA NA NA NA NA
NA.243 NA NA NA NA NA NA NA NA NA NA NA
NA.244 NA NA NA NA NA NA NA NA NA NA NA
NA.245 NA NA NA NA NA NA NA NA NA NA NA
NA.246 NA NA NA NA NA NA NA NA NA NA NA
NA.247 NA NA NA NA NA NA NA NA NA NA NA
NA.248 NA NA NA NA NA NA NA NA NA NA NA
NA.249 NA NA NA NA NA NA NA NA NA NA NA
NA.250 NA NA NA NA NA NA NA NA NA NA NA
NA.251 NA NA NA NA NA NA NA NA NA NA NA
NA.252 NA NA NA NA NA NA NA NA NA NA NA
NA.253 NA NA NA NA NA NA NA NA NA NA NA
NA.254 NA NA NA NA NA NA NA NA NA NA NA
NA.255 NA NA NA NA NA NA NA NA NA NA NA
NA.256 NA NA NA NA NA NA NA NA NA NA NA
NA.257 NA NA NA NA NA NA NA NA NA NA NA
NA.258 NA NA NA NA NA NA NA NA NA NA NA
NA.259 NA NA NA NA NA NA NA NA NA NA NA
NA.260 NA NA NA NA NA NA NA NA NA NA NA
NA.261 NA NA NA NA NA NA NA NA NA NA NA
NA.262 NA NA NA NA NA NA NA NA NA NA NA
NA.263 NA NA NA NA NA NA NA NA NA NA NA
NA.264 NA NA NA NA NA NA NA NA NA NA NA
NA.265 NA NA NA NA NA NA NA NA NA NA NA
NA.266 NA NA NA NA NA NA NA NA NA NA NA
NA.267 NA NA NA NA NA NA NA NA NA NA NA
NA.268 NA NA NA NA NA NA NA NA NA NA NA
NA.269 NA NA NA NA NA NA NA NA NA NA NA
NA.270 NA NA NA NA NA NA NA NA NA NA NA
NA.271 NA NA NA NA NA NA NA NA NA NA NA
NA.272 NA NA NA NA NA NA NA NA NA NA NA
NA.273 NA NA NA NA NA NA NA NA NA NA NA
NA.274 NA NA NA NA NA NA NA NA NA NA NA
NA.275 NA NA NA NA NA NA NA NA NA NA NA
NA.276 NA NA NA NA NA NA NA NA NA NA NA
NA.277 NA NA NA NA NA NA NA NA NA NA NA
NA.278 NA NA NA NA NA NA NA NA NA NA NA
NA.279 NA NA NA NA NA NA NA NA NA NA NA
NA.280 NA NA NA NA NA NA NA NA NA NA NA
NA.281 NA NA NA NA NA NA NA NA NA NA NA
NA.282 NA NA NA NA NA NA NA NA NA NA NA
NA.283 NA NA NA NA NA NA NA NA NA NA NA
NA.284 NA NA NA NA NA NA NA NA NA NA NA
NA.285 NA NA NA NA NA NA NA NA NA NA NA
NA.286 NA NA NA NA NA NA NA NA NA NA NA
NA.287 NA NA NA NA NA NA NA NA NA NA NA
NA.288 NA NA NA NA NA NA NA NA NA NA NA
NA.289 NA NA NA NA NA NA NA NA NA NA NA
NA.290 NA NA NA NA NA NA NA NA NA NA NA
NA.291 NA NA NA NA NA NA NA NA NA NA NA
NA.292 NA NA NA NA NA NA NA NA NA NA NA
NA.293 NA NA NA NA NA NA NA NA NA NA NA
NA.294 NA NA NA NA NA NA NA NA NA NA NA
NA.295 NA NA NA NA NA NA NA NA NA NA NA
NA.296 NA NA NA NA NA NA NA NA NA NA NA
NA.297 NA NA NA NA NA NA NA NA NA NA NA
NA.298 NA NA NA NA NA NA NA NA NA NA NA
NA.299 NA NA NA NA NA NA NA NA NA NA NA
NA.300 NA NA NA NA NA NA NA NA NA NA NA
NA.301 NA NA NA NA NA NA NA NA NA NA NA
NA.302 NA NA NA NA NA NA NA NA NA NA NA
NA.303 NA NA NA NA NA NA NA NA NA NA NA
NA.304 NA NA NA NA NA NA NA NA NA NA NA
NA.305 NA NA NA NA NA NA NA NA NA NA NA
NA.306 NA NA NA NA NA NA NA NA NA NA NA
NA.307 NA NA NA NA NA NA NA NA NA NA NA
NA.308 NA NA NA NA NA NA NA NA NA NA NA
NA.309 NA NA NA NA NA NA NA NA NA NA NA
NA.310 NA NA NA NA NA NA NA NA NA NA NA
NA.311 NA NA NA NA NA NA NA NA NA NA NA
NA.312 NA NA NA NA NA NA NA NA NA NA NA
