"","fndRow","",""
"SA18-GS-6",102,0,0
"SA18-GS-7",103,0,0
"SA18-GS-8",104,0,0
"SA18-GS-9",105,0,0
"SA18-GS-10",106,0,0
"SA18-GS-11",107,0,0
"SA18-GS-12",108,0,0
"SL18-MD-1",109,0,0
"SL18-MD-2",110,0,0
"SL18-MD-3",111,0,0
"SL18-MD-4",112,0,0
"SL18-MD-5",113,0,0
"SL18-BL-5",114,0,0
"SL18-BL-6",115,0,0
"SL18-BL-7",116,0,0
"SL18-BL-8",117,0,0
"SL18-BL-9",118,0,0
"SL18-BL-10",119,0,0
"SL18-BL-11",120,0,0
"SL18-BL-12",121,0,0
"SL18-BL-13",122,0,0
"SL18-BL-14",123,0,0
"SL18-BL-15",124,0,0
"SL18-BL-16",125,0,0
"SA18-CB-10",126,0,0
"SL18-OI-2",127,0,0
"SL18-OI-7",128,0,0
"SL18-OI-9",129,0,0
"SL18-SF-13",130,0,0
"SL18-SF-17",131,0,0
"SA18-CB-4",132,0,0
"SL18-LD-2",133,0,0
"SA18-CB-7",134,0,0
"SL18-LL-9",135,0,0
"SL18-SF-19",136,0,0
"SL18-OI-14",137,0,0
"SL18-SF-15",138,0,0
"SA18-CB-2",139,0,0
"SA18-CB-5",140,0,0
"SA18-CB-1",141,0,0
"SA18-CB-3",142,0,0
"SA18-CB-10-FG1",143,126,NA
"SL18-LD-10-FG1",144,14,NA
"SL18-NL-6-FG1",145,73,NA
"SL18-LD-10-FG2",146,14,NA
"SL18-NL-9-FG2",147,74,NA
"SL18-OI-11-FG1",148,4,NA
"SL18-OI-15-FG1",149,5,NA
"SL18-OI-16-FG3",150,6,NA
"SL18-LD-13-FG2",151,16,NA
"SL18-OI-17-FG1",152,7,NA
"SL18-OI-17-FG2",153,7,NA
"SL18-OI-18-FG1",154,8,NA
"SL18-OI-18-FG2",155,8,NA
"SL18-OI-18-FG3",156,8,NA
"SL18-OI-18-FG5",157,8,NA
"SL18-OI-18-FG6",158,8,NA
"SL18-OI-2-FG2",159,127,NA
"SL18-LD-1-FG1",160,9,NA
"SL18-OI-2-FG3",161,127,NA
"SL18-OI-6-FG1",162,3,NA
"SL18-OI-7-FG3",163,128,NA
"SL18-OI-9-FG1",164,129,NA
"SL18-SF-13-FG1",165,130,NA
"SL18-LD-1-FG2",166,9,NA
"SL18-SF-17-FG1",167,131,NA
"SL18-SF-17-FG3",168,131,NA
"SA18-CB-10-FG2",169,126,NA
"SL18-LD-1-FG3",170,9,NA
"SA18-CB-4-FG3",171,132,NA
"SL18-LD-2-FG2",172,133,NA
"SL18-LD-3-FG1",173,10,NA
"SL18-LD-3-FG2",174,10,NA
"SL18-LD-4-FG1",175,11,NA
"SL18-LD-4-FG2",176,11,NA
"SL18-LD-4-FG3",177,11,NA
"SL18-LD-5-FG1",178,12,NA
"SA18-CB-7-FG1",179,134,NA
"SL18-LD-9-FG2",180,13,NA
"SL18-LD-9-FG3",181,13,NA
"SL18-LL-9-FG3",182,135,NA
"SL18-NL-10-FG1",183,75,NA
"SL18-NL-10-FG3",184,75,NA
"SL18-NL-2-FG1",185,66,NA
"SL18-NL-2-FG3",186,66,NA
"SL18-NL-3-FG1",187,68,NA
"SL18-NL-3-FG2",188,68,NA
"SL18-NL-3-FG3",189,68,NA
"SL18-SF-19-MG2",190,136,NA
"SL18-OI-4-MG1",191,1,NA
"SL18-OI-11-MG2",192,4,NA
"SL18-OI-14-MG2",193,137,NA
"SL18-OI-15-MG1",194,5,NA
"SL18-OI-16-MG1",195,6,NA
"SL18-SF-17-MG1",196,131,NA
"SA18-CB-7-MG2",197,134,NA
"SL18-NL-3-MG2",198,68,NA
"SA18-CB-7-MG1",199,134,NA
"SL18-SF-19-MG1",200,136,NA
"SL18-SF-15-MG2",201,138,NA
"SA18-CB-2-MG3",202,139,NA
"SL18-NL-5-MG1",203,70,NA
"SL18-SF-15-MG1",204,138,NA
"SA18-CB-4-MG3",205,132,NA
"SA18-CB-5-MG3",206,140,NA
"SL18-LD-13-MG2",207,16,NA
"SL18-LD-3-MG2",208,10,NA
"SL18-NL-6-MG1",209,73,NA
"SL18-SF-17-MG2",210,131,NA
"SL18-SF-13-MG2",211,130,NA
"SL18-OI-9-MG3",212,129,NA
"SL18-LD-10-MG1",213,14,NA
"SL18-LD-9-MG1",214,13,NA
"SL18-NL-2-MG2",215,66,NA
"SL18-LD-2-MG3",216,133,NA
"SL18-LL-9-MG1",217,135,NA
"SL18-OI-7-MG1",218,128,NA
"SL18-LD-2-MG1",219,133,NA
"SA18-CB-1-MG2",220,141,NA
"SL18-LD-1-MG2",221,9,NA
"SL18-NL-9-MG1",222,74,NA
"SA18-CB-2-MG1",223,139,NA
"SA18-CB-4-MG1",224,132,NA
"SL18-LD-5-MG1",225,12,NA
"SL18-OI-18-MG1",226,8,NA
"SL18-LL-9-MG2",227,135,NA
"SL18-LL-9-MG3",228,135,NA
"SA18-CB-10-MG1",229,126,NA
"SA18-CB-3-MG3",230,142,NA
"SL18-NL-10-MG2",231,75,NA
"SL18-NL-2-MG3",232,66,NA
"SL18-SF-13-MG3",233,130,NA
"SL18-OI-6-MG2",234,3,NA
"SL18-NL-9-MG2",235,74,NA
"SL18-OI-15-MG2",236,5,NA
"SL18-SF-17-MG3",237,131,NA
"SL18-NL-7-MG1",238,72,NA
"SL18-SF-13-MG1",239,130,NA
"SA18-CB-2-MG2",240,139,NA
"SL18-NL-2-MG1",241,66,NA
"SA18-CB-10-FG1xSL18-SF-19-MG2",242,143,190
"SL18-LD-10-FG1xSL18-OI-4-MG1",243,144,191
"SL18-NL-6-FG1xSL18-OI-11-MG2",244,145,192
"SL18-NL-6-FG1xSL18-OI-14-MG2",245,145,193
"SL18-NL-6-FG1xSL18-OI-15-MG1",246,145,194
"SL18-NL-6-FG1xSL18-OI-16-MG1",247,145,195
"SL18-NL-6-FG1xSL18-SF-17-MG1",248,145,196
"SL18-NL-6-FG1xSL18-SF-19-MG2",249,145,190
"SL18-LD-10-FG2xSA18-CB-7-MG2",250,146,197
"SL18-LD-10-FG2xSL18-NL-3-MG2",251,146,198
"SL18-NL-9-FG2xSA18-CB-7-MG1",252,147,199
"SL18-NL-9-FG2xSL18-SF-19-MG1",253,147,200
"SL18-OI-11-FG1xSL18-SF-15-MG2",254,148,201
"SL18-OI-15-FG1xSA18-CB-2-MG3",255,149,202
"SL18-OI-15-FG1xSL18-NL-5-MG1",256,149,203
"SL18-OI-15-FG1xSL18-SF-15-MG1",257,149,204
"SL18-OI-16-FG3xSA18-CB-4-MG3",258,150,205
"SL18-OI-16-FG3xSA18-CB-5-MG3",259,150,206
"SL18-LD-13-FG2xSL18-LD-13-MG2",260,151,207
"SL18-OI-16-FG3xSL18-LD-3-MG2",261,150,208
"SL18-OI-16-FG3xSL18-NL-6-MG1",262,150,209
"SL18-OI-16-FG3xSL18-SF-17-MG2",263,150,210
"SL18-OI-17-FG1xSL18-SF-13-MG2",264,152,211
"SL18-OI-17-FG2xSL18-SF-17-MG2",265,153,210
"SL18-OI-18-FG1xSL18-OI-9-MG3",266,154,212
"SL18-OI-18-FG2xSA18-CB-7-MG1",267,155,199
"SL18-OI-18-FG2xSL18-LD-10-MG1",268,155,213
"SL18-OI-18-FG2xSL18-LD-9-MG1",269,155,214
"SL18-OI-18-FG2xSL18-NL-2-MG2",270,155,215
"SL18-OI-18-FG2xSL18-LD-2-MG3",271,155,216
"SL18-OI-18-FG3xSL18-LL-9-MG1",272,156,217
"SL18-OI-18-FG3xSL18-OI-7-MG1",273,156,218
"SL18-OI-18-FG5xSA18-CB-4-MG3",274,157,205
"SL18-OI-18-FG5xSL18-LD-2-MG1",275,157,219
"SL18-OI-18-FG5xSL18-SF-15-MG2",276,157,201
"SL18-OI-18-FG6xSA18-CB-1-MG2",277,158,220
"SL18-OI-18-FG6xSL18-NL-6-MG1",278,158,209
"SL18-OI-2-FG2xSL18-LD-1-MG2",279,159,221
"SL18-LD-1-FG1xSL18-NL-2-MG2",280,160,215
"SL18-OI-2-FG3xSL18-NL-9-MG1",281,161,222
"SL18-OI-2-FG3xSL18-SF-17-MG1",282,161,196
"SL18-OI-6-FG1xSA18-CB-2-MG1",283,162,223
"SL18-OI-6-FG1xSA18-CB-4-MG1",284,162,224
"SL18-OI-6-FG1xSL18-LD-13-MG2",285,162,207
"SL18-OI-6-FG1xSL18-LD-2-MG1",286,162,219
"SL18-OI-6-FG1xSL18-LD-5-MG1",287,162,225
"SL18-LD-1-FG1xSL18-OI-18-MG1",288,160,226
"SL18-OI-6-FG1xSL18-NL-9-MG1",289,162,222
"SL18-OI-6-FG1xSL18-SF-15-MG1",290,162,204
"SL18-OI-6-FG1xSL18-SF-19-MG1",291,162,200
"SL18-OI-7-FG3xSA18-CB-2-MG3",292,163,202
"SL18-OI-9-FG1xSL18-LL-9-MG2",293,164,227
"SL18-SF-13-FG1xSL18-LL-9-MG3",294,165,228
"SL18-LD-1-FG2xSA18-CB-4-MG3",295,166,205
"SL18-SF-17-FG1xSL18-LL-9-MG1",296,167,217
"SL18-SF-17-FG3xSA18-CB-10-MG1",297,168,229
"SL18-SF-17-FG3xSA18-CB-3-MG3",298,168,230
"SL18-SF-17-FG3xSL18-LD-2-MG1",299,168,219
"SL18-SF-17-FG3xSL18-NL-10-MG2",300,168,231
"SL18-SF-17-FG3xSL18-NL-2-MG3",301,168,232
"SL18-SF-17-FG3xSL18-NL-9-MG1",302,168,222
"SL18-SF-17-FG3xSL18-OI-7-MG1",303,168,218
"SL18-SF-17-FG3xSL18-OI-9-MG3",304,168,212
"SA18-CB-10-FG2xSL18-LL-9-MG1",305,169,217
"SL18-LD-1-FG2xSL18-SF-13-MG3",306,166,233
"SL18-LD-1-FG2xSL18-SF-15-MG1",307,166,204
"SL18-LD-1-FG3xSL18-NL-5-MG1",308,170,203
"SL18-LD-1-FG3xSL18-OI-11-MG2",309,170,192
"SL18-LD-1-FG3xSL18-OI-15-MG1",310,170,194
"SL18-LD-1-FG3xSL18-OI-16-MG1",311,170,195
"SL18-LD-1-FG3xSL18-OI-6-MG2",312,170,234
"SL18-LD-1-FG3xSL18-OI-7-MG1",313,170,218
"SL18-LD-1-FG3xSL18-OI-9-MG3",314,170,212
"SA18-CB-4-FG3xSA18-CB-4-MG3",315,171,205
"SL18-LD-1-FG3xSL18-NL-9-MG2",316,170,235
"SL18-LD-1-FG3xSL18-OI-15-MG2",317,170,236
"SL18-LD-2-FG2xSA18-CB-3-MG3",318,172,230
"SL18-LD-2-FG2xSL18-LL-9-MG2",319,172,227
"SL18-LD-2-FG2xSL18-NL-9-MG1",320,172,222
"SL18-LD-2-FG2xSL18-SF-19-MG1",321,172,200
"SL18-LD-3-FG1xSL18-NL-9-MG1",322,173,222
"SL18-LD-3-FG1xSL18-SF-19-MG2",323,173,190
"SL18-LD-3-FG2xSA18-CB-2-MG3",324,174,202
"SL18-LD-3-FG2xSL18-LL-9-MG2",325,174,227
"SL18-LD-3-FG2xSL18-SF-17-MG3",326,174,237
"SL18-LD-4-FG1xSA18-CB-2-MG1",327,175,223
"SL18-LD-4-FG1xSL18-NL-3-MG2",328,175,198
"SL18-LD-4-FG2xSL18-LL-9-MG1",329,176,217
"SL18-LD-4-FG2xSL18-SF-15-MG2",330,176,201
"SL18-LD-4-FG3xSL18-SF-17-MG1",331,177,196
"SL18-LD-5-FG1xSA18-CB-10-MG1",332,178,229
"SA18-CB-7-FG1xSL18-LL-9-MG3",333,179,228
"SL18-LD-9-FG2xSL18-SF-13-MG3",334,180,233
"SL18-LD-9-FG3xSL18-NL-7-MG1",335,181,238
"SL18-LD-9-FG3xSL18-SF-17-MG1",336,181,196
"SL18-LL-9-FG3xSL18-NL-9-MG1",337,182,222
"SL18-NL-10-FG1xSA18-CB-4-MG3",338,183,205
"SL18-NL-10-FG1xSL18-LD-2-MG1",339,183,219
"SL18-LD-10-FG1xSA18-CB-1-MG2",340,144,220
"SL18-NL-10-FG1xSL18-OI-15-MG1",341,183,194
"SL18-NL-10-FG1xSL18-OI-7-MG1",342,183,218
"SL18-NL-10-FG1xSL18-SF-13-MG1",343,183,239
"SL18-NL-10-FG3xSL18-NL-3-MG2",344,184,198
"SL18-NL-2-FG1xSA18-CB-1-MG2",345,185,220
"SL18-NL-2-FG1xSL18-LD-13-MG2",346,185,207
"SL18-NL-2-FG1xSL18-SF-17-MG1",347,185,196
"SL18-NL-2-FG3xSA18-CB-2-MG3",348,186,202
"SL18-NL-2-FG3xSA18-CB-4-MG1",349,186,224
"SL18-NL-2-FG3xSL18-LD-3-MG2",350,186,208
"SL18-NL-2-FG3xSL18-OI-16-MG1",351,186,195
"SL18-NL-3-FG1xSA18-CB-7-MG2",352,187,197
"SL18-NL-3-FG1xSL18-OI-11-MG2",353,187,192
"SL18-NL-3-FG1xSL18-SF-13-MG2",354,187,211
"SL18-NL-3-FG2xSL18-SF-17-MG2",355,188,210
"SL18-NL-3-FG3xSA18-CB-2-MG2",356,189,240
"SL18-LD-10-FG1xSL18-OI-18-MG1",357,144,226
"SL18-NL-6-FG1xSA18-CB-3-MG3",358,145,230
"SL18-NL-6-FG1xSA18-CB-7-MG2",359,145,197
"SL18-NL-6-FG1xSL18-LD-1-MG2",360,145,221
"SL18-NL-6-FG1xSL18-LD-2-MG1",361,145,219
"SL18-NL-6-FG1xSL18-LD-3-MG2",362,145,208
"SL18-NL-6-FG1xSL18-NL-2-MG1",363,145,241
